cliente,vendedor,unidade,mes,produto,status,marca,tipo_pagamento,tipo_frete,prazo,valor_total
Thiago Mendes,Francisco Melo,da Mota de Carvalho,2024-10,Suplemento Extra 5L,Entregue,TerraForte,Prazo,FOB,mais que 180,"4291,596"
João Felipe Cavalcanti,Mathias Ribeiro,Melo,2024-10,Óleo Vegetal Select 10kg,Entregue,BlueFarm,Prazo,CIF,mais que 180,"75838,823"
Zoe da Rosa,Gabriela da Luz,Castro,2025-01,Herbicida Natural 1L,Aprovado,SkyMarket,,,,"246,078"
Cecilia Lopes,Laís Macedo,Costela de Almeida,2024-10,Ração Orgânico 10kg,Entregue,TerraForte,Prazo,CIF,de 31 à 60,"9592,814"
Marcos Vinicius Campos,Maria Liz da Cunha,Aragão do Oeste,2024-10,Farinha Premium 20kg,Entregue,SkyMarket,Prazo,CIF,mais que 180,"3517,271"
Isaque Vargas,João Felipe Correia,Freitas,2024-10,Adubo Extra 250ml,Entregue,VittaMais,Prazo,CIF,de 31 à 60,"1505,996"
Dra. Kamilly Peixoto,Aylla Cardoso,Nogueira Paulista,2024-11,Herbicida Refinado 25kg,Entregue,NovaTech,Prazo,CIF,até 30,"12959,158"
Lucas Gabriel Silveira,Luiz Otávio Silveira,Ribeiro,2025-01,Fertilizante Tradicional 1kg,Aprovado,VittaMais,,,,"30,654"
Ana Júlia da Cruz,Letícia Cavalcanti,Araújo do Amparo,2024-10,Soja Fortificado 500g,Entregue,TerraForte,Prazo,CIF,de 31 à 60,"11631,744"
João Gabriel Moreira,Otávio Albuquerque,Marques,2024-10,Suplemento Natural 20kg,Entregue,SkyMarket,Pagamento parcelado,CIF,mais que 180,"4297,905"
Lorena Aparecida,Srta. Agatha Cirino,Novaes,2025-01,Semente Especial 25kg,Aprovado,VittaMais,,,,"0,236"
Otto Freitas,Diego da Mata,Moreira do Norte,2024-10,Farinha Especial 5L,Entregue,BlueFarm,Prazo,CIF,até 30,"6295,601"
Dr. João Miguel Guerra,Yuri Monteiro,Vieira,2024-10,Arroz Premium 250ml,Entregue,BlueFarm,Prazo,CIF,até 30,"2855,447"
Cauê Vargas,Isaque Sá,da Cunha do Amparo,2024-10,Arroz Orgânico 5L,Entregue,BlueFarm,Prazo,CIF,mais que 180,"6157,929"
Oliver Camargo,Dr. Yan Abreu,Moraes,2024-10,Café Select 1kg,Entregue,TerraForte,Pagamento à vista,CIF,até 30,"2841,378"
Dr. Lucas Novais,Guilherme Marques,Pires,2024-11,Produto Orgânico Extra 10kg,Entregue,BlueFarm,Prazo,CIF,até 30,"3149,795"
Ravi Lucca Ferreira,Lunna Fernandes,Cirino,2024-10,Milho Extra 25kg,Entregue,VittaMais,Prazo,CIF,mais que 180,"5359,554"
Maria Luiza Monteiro,Thomas Martins,Almeida das Pedras,2024-10,Soja Refinado 20kg,Entregue,PrimeFood,Pagamento parcelado,CIF,mais que 180,"8094,89"
Lorena das Neves,Vitor Gabriel Rios,Araújo,2024-10,Ração Refinado 10kg,Entregue,AgroPlus,Prazo,CIF,mais que 180,"8519,446"
Igor Garcia,Ágatha Ramos,Nogueira,2024-10,Farinha Integral 250ml,Cancelado,SmartAgro,Prazo,CIF,de 31 à 60,"5945,707"
Dr. Francisco Ramos,Leonardo Mendes,Fogaça de Barros,2024-10,Óleo Vegetal Premium 1L,Entregue,BioVida,Prazo,CIF,mais que 180,"7986,981"
Ryan Porto,Leandro Cavalcanti,Martins das Flores,2024-10,Açúcar Orgânico 1L,Entregue,PrimeFood,Prazo,CIF,mais que 180,"3779,754"
João Pedro Barros,Sr. Renan Melo,Pires,2024-11,Adubo Especial 20kg,Entregue,BlueFarm,Prazo,CIF,mais que 180,"3798,128"
Sofia Novaes,Asafe Cunha,Aragão,2024-10,Feijão Fortificado 250ml,Entregue,TerraForte,Prazo,CIF,até 30,"173,426"
Catarina Costela,Leandro da Luz,Ramos de Almeida,2024-10,Açúcar Integral 500g,Entregue,SmartAgro,Prazo,CIF,até 30,"3674,293"
Sophia Fogaça,Antony Cavalcanti,Vargas,2024-11,Ração Select 20kg,Entregue,BioVida,Prazo,CIF,mais que 180,"6436,082"
Luiz Henrique Ramos,Caroline Mendes,Silva,2024-11,Produto Orgânico Extra 25kg,Entregue,TerraForte,Prazo,CIF,mais que 180,"8965,668"
Nicole Caldeira,Liam Castro,Dias,2024-10,Herbicida Orgânico 500g,Entregue,PrimeFood,Prazo,CIF,de 31 à 60,"5883,368"
Sra. Sophie Pastor,Fernanda Pimenta,Martins de Goiás,2024-11,Feijão Premium 1kg,Entregue,PrimeFood,Prazo,CIF,de 121 à 180,"4671,165"
Ana Vitória da Cunha,Sra. Marina das Neves,Albuquerque de Minas,2024-10,Arroz Fortificado 5L,Entregue,SmartAgro,Pagamento à vista,CIF,até 30,"4222,976"
Laura Carvalho,Rael Aparecida,Gomes,2024-10,Óleo Vegetal Fortificado 10kg,Entregue,SkyMarket,Prazo,CIF,de 121 à 180,"1443,656"
Maria Eduarda Silva,Anna Liz Caldeira,Monteiro,2024-10,Produto Orgânico Tradicional 1kg,Entregue,VittaMais,Prazo,CIF,mais que 180,"24598,402"
